site,nickname,gender,age,lat,long,date_report,est_d_death,date_visit,age_days,transect,species,distance_m,browsed,notes,year_sampled,unique_id,y_obs,section,age_class,cause_death,soil_type,type,region,average_rainfall_mm,dist2road,dist2river,dist2aw,mass_bones,pellets_dung,elephant_dung,pat_dung,zebra_dung,precip_12mo_before_death,precip_12mo_after_death,precip_12mo_before_survey,average_precip_16_25,temp_12mo_before_death,temp_12mo_after_death,temp_12mo_before_survey,average_temp_16_24,temp_max_12mo_before_death,temp_max_12mo_before_survey,season_death,ele_density_2017_buf,hyena_density_2015_idw
B_2023_7,Beautiful,Male,Adult,-25.07005,31.34907,2023-Jan-14,1/14/2023,7/28/2023,195,NW,Dalbergia_melanoxylon,14,9,NA,2023,B_2023_7_2023,2023,Pretoriuskop,adult,Management,Granite,carcass,South,578.7707393,77.00154793,1727.896851,5030.979004,9.9,0.38,8.76,0.46,0.6,575.9107504,800.1718283,854.7009468,640.8972425,21.95,22.05909091,22.21363636,22.06060606,32,31.7,late_wet,0.751211331,0.42696821
B_2023_2,Helga's,Male,Adult,-25.00534,31.44486,2023-Jan-09,1/9/2023,7/27/2023,199,NE,Terminalia_sericea,14,2,dng,2023,B_2023_2_2023,2023,Skukuza,adult,Poached,Granite,carcass,South,567.5346222,513.1584606,2891.829834,3353.413574,5.15,0.15,NA,0.25,0.07,543.8136041,722.9871488,773.993633,591.3479488,22.15454545,22.31818182,22.44545455,22.27020202,32,31.7,late_wet,0.159154943,0.898707161
B_2023_2,Helga's,Male,Adult,-25.00534,31.44486,2023-Jan-09,1/9/2023,7/27/2023,199,NE,Gymnosporia_senegalensis,14,0,dng,2023,B_2023_2_2023,2023,Skukuza,adult,Poached,Granite,carcass,South,567.5346222,513.1584606,2891.829834,3353.413574,5.15,0.15,NA,0.25,0.07,543.8136041,722.9871488,773.993633,591.3479488,22.15454545,22.31818182,22.44545455,22.27020202,32,31.7,late_wet,0.159154943,0.898707161
B_2022_56,Kule,Male,Adult,-23.11656,31.40627,2022-Jun-28,6/28/2022,8/9/2023,407,SE,Colophospermum_mopane,14,0,dng,2023,B_2022_56_2023,2022,Shingwedzi,adult,DCA,Basalt,carcass,North,391.0012146,1732.032921,2305.401855,1704.212646,0.56,0.1,1.95,0.34,NA,403.5015337,342.2207525,349.3315204,373.3621478,23.23636364,24.04545455,23.99090909,23.72878788,34.4,35.1,dry,1.903493119,0.222140359
B_2023_31,Vutomi,Male,Adult,-24.70187,31.89956,2023-Apr-21,4/17/2023,9/5/2023,141,NW,Gymnosporia_senegalensis,14,3,dng,2023,B_2023_31_2023,2023,Tshokwane,adult,Natural,Basalt,carcass,Central,473.5326038,1853.167428,6184.555664,4709.125977,186.32,NA,12.9,NA,NA,893.5575585,571.4666023,901.5383568,642.4674722,22.41818182,22.56363636,22.80909091,22.5969697,32.3,32.3,dry,0.270563403,0.589239177
B_2023_15,Woody,Male,Adult,-25.15009,31.2842,2023-Jan-28,1/25/2023,7/24/2023,180,SW,Dichrostachys_cinerea,13.9,7,dng,2023,B_2023_15_2023,2023,Pretoriuskop,adult,Natural,Granite,carcass,South,560.6265607,124.7936758,648.3532715,2191.235352,0.54,0.04,3.36,NA,NA,647.1735821,925.7168159,974.2053509,727.2266557,21.39545455,21.44090909,21.61363636,21.48686869,32,32,late_wet,1.072704316,0.402141471
B_2023_15,Woody,Male,Adult,-25.15009,31.2842,2023-Jan-28,1/25/2023,7/24/2023,180,W,Strychnos_spinosa,13.9,10,dng,2023,B_2023_15_2023,2023,Pretoriuskop,adult,Natural,Granite,carcass,South,560.6265607,124.7936758,648.3532715,2191.235352,0.54,0.04,3.36,NA,NA,647.1735821,925.7168159,974.2053509,727.2266557,21.39545455,21.44090909,21.61363636,21.48686869,32,32,late_wet,1.072704316,0.402141471
B_2019_51,Goldilocks,Male,Adult,-25.00095,31.47464,2019-Jul-09,7/9/2019,7/27/2023,1479,W,Acacia_nigrescens,13.8,10,dng,2023,B_2019_51_2023,2019,Skukuza,adult,Management,Granite,carcass,South,554.9358696,458.962897,2215.163086,4068.99585,109.14,0.18,0.12,0.03,NA,507.0473132,499.5334642,733.8088856,565.1577309,22.42272727,21.91363636,22.37727273,22.22323232,32.7,31.6,dry,0.413802852,0.691881655
B_2016_106,Junction,Unknown,Adult,-23.09553,31.41744,2016-Sep-16,9/15/2016,8/3/2023,2513,S,Salvadora_australis,13.8,10,NA,2023,B_2016_106_2023,2016,Shingwedzi,adult,Natural,Basalt,carcass,North,383.2762202,75.92879753,1850.584839,2457.511963,36.77,0.26,0.25,NA,NA,159.0696924,586.4114782,320.9938223,352.2947537,22.30625,23.28181818,23.74090909,23.5010101,35.5,34.5,dry,1.909859317,0.253860694
B_2022_31,Bububu,Male,Adult,-23.07579,30.91659,2023-Apr-05,4/10/2022,8/10/2023,487,W,Colophospermum_mopane,13.7,0,NA,2023,B_2022_31_2023,2022,Shangoni,adult,Poached,Granite,carcass,North,379.1720883,1199.898649,2460.64209,6797.304199,39.75,NA,2.55,0.05,NA,361.1855645,384.218508,382.5109634,415.9791191,22.53181818,23.08636364,23.34090909,22.95505051,32.8,33.4,dry,0.073211274,0.351075808
