site,nickname,section,lat,long,dis.road.m,soil_type,y_obs,d_obs,est_d_death,cause_death,sex,age_class,date_visit,age_days,type,full_partial,direction,distance,weight,nickname_distance_direction,mean_realArea,mean_realPerimeter,mean_dgciOriginal,mean_dgciCorrected,n_realArea,n_realPerimeter,n_dgciOriginal,n_dgciCorrected,n_leaves_total,n_area_used,total_area_cm2_est,SLA_cm2_g,SLA_valid,SLA_m2_kg,unique_id,dist2road,dist2river,dist2aw,average_precip_16_25,precip_12mo_before_death,precip_12mo_after_death,precip_12mo_before_survey,average_temp_16_24,temp_12mo_before_death,temp_12mo_after_death,temp_12mo_before_survey,temp_max_12mo_before_death,temp_max_12mo_before_survey,season_death,season_survey,ele_density_2017_buf,mass_bones,average_score_bones,frag_count,nonfrag_count,pellets_dung,elephant_dung,pat_dung,zebra_dung,hyena_dung,jackal_dung,carnivore_dung,rhino_dung
B_2024_121,Masorini,Phalaborwa,-23.86585,31.285,379,Granite,2024,2/18/2024,2/18/2024,Management,female,adult,30-Jul-25,528,carcass,partial,W,6.4,5.92,Masorini_6.4_W,34.14510538,33.09881059,0.386552252,0.08908017,10,10,10,10,10,10,341.4510538,57.67754287,TRUE,5.767754287,B_2024_121_2025,378.9350086,15239.87012,3607.491455,414.1493912,218.2512126,423.6923668,378.8521454,23.12323232,23.37727273,23.18888889,24.94,33.5,35.9,late_wet,dry,0.541126807,0.92,5,0,0,0.06,0.42,NA,NA,NA,NA,NA,NA
B_2022_31,Bububu,Shangoni,-23.075886,30.91599,1200,Granite,2022,5-Apr-23,10-Apr-22,Poached,male,adult,18-Aug-25,1226,carcass,partial,W,15,7.54,Bububu_15_W,43.58385776,36.91349636,0.44319958,0.173903041,10,10,10,10,10,10,435.8385776,57.80352488,TRUE,5.780352488,B_2022_31_2025,1199.898649,2460.64209,6797.304199,415.9791191,361.1855645,384.218508,540.3760989,22.95505051,22.53181818,23.08636364,26.125,32.8,36.1,dry,dry,0.073211274,38.1,2.25,0,8,NA,0.6,NA,NA,NA,NA,NA,NA
B_2024_121,Masorini,Phalaborwa,-23.86585,31.285,379,Granite,2024,2/18/2024,2/18/2024,Management,female,adult,30-Jul-25,528,carcass,partial,W,3.8,3.69,Masorini_3.8_W,21.39676274,27.31503484,0.452006065,0.197782063,10,10,9,9,10,10,213.9676274,57.98580688,TRUE,5.798580688,B_2024_121_2025,378.9350086,15239.87012,3607.491455,414.1493912,218.2512126,423.6923668,378.8521454,23.12323232,23.37727273,23.18888889,24.94,33.5,35.9,late_wet,dry,0.541126807,0.92,5,0,0,0.06,0.42,NA,NA,NA,NA,NA,NA
B_2024_90,Ntokozo,Letaba,-23.92952,31.49867,34,Granite,2024,5/6/2025,5/6/2024,Management,Female,adult,19-Jun-25,409,carcass,partial,S,5,5.84,Ntokozo_5_S,56.4442318,39.32986851,0.426176323,0.228217213,6,6,6,6,6,6,338.6653908,57.9906491,TRUE,5.79906491,B_2024_90_2025,34.0677111,9402.871094,2948.120605,450.029723,332.0134277,399.6323657,399.2558179,23.05505051,23.24545455,24.14166667,24.14166667,33.4,35.9,dry,dry,0.728929639,0.32,5,14,0,NA,4.34,NA,NA,NA,NA,NA,NA
B_2021_49,Ntshivana,Mooiplaas,-23.32766,31.5426,169,Granite,2021,10-Jul-21,7-Jul-21,Natural,female,adult,14-Aug-25,1499,carcass,partial,E,25,3.46,Ntshivana_25_E,20.21708444,27.04582206,0.311703104,-0.201668077,10,10,9,9,10,10,202.1708444,58.43087987,TRUE,5.843087987,B_2021_49_2025,168.9993396,8214.838867,2959.027832,416.8094176,536.7172086,445.9968957,431.1295652,23.77171717,23.22272727,23.34545455,26.95,34.2,37.3,dry,dry,1.059971921,0.62,4.833333333,17,1,0.06,1.9,NA,0.18,NA,NA,NA,NA
B_2024_121,Masorini,Phalaborwa,-23.86585,31.285,379,Granite,2024,2/18/2024,2/18/2024,Management,female,adult,30-Jul-25,528,carcass,partial,S,24,3.79,Masorini_24_S,22.21937658,26.30624028,0.325511939,0.026444691,10,10,10,10,10,10,222.1937658,58.62632342,TRUE,5.862632342,B_2024_121_2025,378.9350086,15239.87012,3607.491455,414.1493912,218.2512126,423.6923668,378.8521454,23.12323232,23.37727273,23.18888889,24.94,33.5,35.9,late_wet,dry,0.541126807,0.92,5,0,0,0.06,0.42,NA,NA,NA,NA,NA,NA
B_2022_31,Bububu,Shangoni,-23.075886,30.91599,1200,Granite,2022,5-Apr-23,10-Apr-22,Poached,male,adult,18-Aug-25,1226,carcass,partial,N,16.2,6.07,Bububu_16.2_N,35.65788688,33.39319603,0.404172322,0.12051674,10,10,10,10,10,10,356.5788688,58.74445944,TRUE,5.874445944,B_2022_31_2025,1199.898649,2460.64209,6797.304199,415.9791191,361.1855645,384.218508,540.3760989,22.95505051,22.53181818,23.08636364,26.125,32.8,36.1,dry,dry,0.073211274,38.1,2.25,0,8,NA,0.6,NA,NA,NA,NA,NA,NA
B_2023_66,Machalolo,Letaba,-23.81536,31.49551,1200,Basalt,2023,16-Jul-23,16-Jul-23,Management,female,adult,6-Aug-25,752,carcass,partial,N,24,6.73,Machalolo_24_N,39.57954069,33.1448765,0.395316998,0.12071148,10,10,10,10,10,10,395.7954069,58.81061024,TRUE,5.881061024,B_2023_66_2025,1200.249433,4883.600586,7517.097656,426.8250235,473.4461799,275.8268936,383.5587597,23.37676768,23.72727273,23.7,26.475,33.6,36.7,dry,dry,1.177746579,0.34,5,70,0,0.06,0.08,NA,0.08,NA,NA,NA,NA
B_2022_64,Outpost,Pafuri,-22.39239,31.1586683,405,Granite,2022,22-Jul-22,18-Jul-22,Fighting,female,adult,26-Aug-25,1135,carcass,partial,E,2.7,7.55,Outpost_2.7_E,44.55785773,38.09610547,0.431732611,0.15264968,10,10,8,8,10,10,445.5785773,59.01703011,TRUE,5.901703011,B_2022_64_2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B_2022_64,Outpost,Pafuri,-22.39239,31.1586683,405,Granite,2022,22-Jul-22,18-Jul-22,Fighting,female,adult,26-Aug-25,1135,carcass,partial,E,8,5.13,Outpost_8_E,30.55703597,34.32586185,0.410225073,0.219701439,10,10,10,10,10,10,305.5703597,59.56537225,TRUE,5.956537225,B_2022_64_2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
